StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4
2025-09-15 10:05:44,2025-09-15 10:06:28,IP Address,130.126.255.19,100,43,True,2025-09-15 10:06:28,R_6SGuyddDqCV7V0l,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Chicago,"Busy downtown, chill northern section"
2025-09-15 10:05:27,2025-09-15 10:06:28,IP Address,130.126.255.122,100,60,True,2025-09-15 10:06:28,R_68PtJRXPN2jov0B,,,,,40.112,-88.2365,anonymous,EN,China,Beijing,Beijing,Beautiful and historical city
2025-09-15 10:05:45,2025-09-15 10:06:31,IP Address,130.126.255.202,100,46,True,2025-09-15 10:06:31,R_6GUNw7jP44Xr95T,,,,,40.112,-88.2365,anonymous,EN,United States,"Illinois ",Chicago,Chicago is a very lively city with much to do and much to see
2025-09-15 10:05:24,2025-09-15 10:06:32,IP Address,130.126.255.119,100,67,True,2025-09-15 10:06:33,R_7HpdTPi3XUmKSxW,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Downers Grove,"A comfortable, affluent suburban town with a sizeable downtown area, good schools and public spaces, and easy access to a train and highway into Chicago."
2025-09-15 10:05:25,2025-09-15 10:06:35,IP Address,130.126.255.238,100,69,True,2025-09-15 10:06:35,R_6cZDG7yQeXxgFXl,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Elmhurst,Suburb of Chicago with many trees.
2025-09-15 10:05:56,2025-09-15 10:06:36,IP Address,130.126.255.158,100,40,True,2025-09-15 10:06:36,R_61hAA0ACMLVtvdD,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Evanston,"Diverse and progressive, very liberal."
2025-09-15 10:06:18,2025-09-15 10:06:36,IP Address,130.126.255.235,100,18,True,2025-09-15 10:06:36,R_5SupY88YF6P4MWR,,,,,40.112,-88.2365,anonymous,EN,United Sates,Illinois,Forsyth,Very country and rural.
2025-09-15 10:05:32,2025-09-15 10:06:37,IP Address,172.225.130.43,100,64,True,2025-09-15 10:06:37,R_3wtwQyRnxEiy5J2,,,,,41.8835,-87.6305,anonymous,EN,United States,Illinois,Norridge,Small town with a big community
2025-09-15 10:05:46,2025-09-15 10:06:37,IP Address,130.126.255.31,100,51,True,2025-09-15 10:06:37,R_51v25FMoqouT01V,,,,,40.112,-88.2365,anonymous,EN,I am from the U.S.,Illinois,"Elmhurst, IL",Upper middle class suburb.
2025-09-15 10:05:25,2025-09-15 10:06:39,IP Address,130.126.255.180,100,74,True,2025-09-15 10:06:39,R_32o4LUHkkfreFX2,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Schaumburg,Schaumburg is a Chicago suburb that is West of Chicago.
2025-09-15 10:05:26,2025-09-15 10:06:39,IP Address,130.126.255.161,100,73,True,2025-09-15 10:06:39,R_6Eys8K71v758GHp,,,,,40.112,-88.2365,anonymous,EN,China,Fujian,Fuzhou,"Warm, quiet, harmony."
2025-09-15 10:05:19,2025-09-15 10:06:40,IP Address,130.126.255.27,100,81,True,2025-09-15 10:06:41,R_1NkzEIJXAMVXdBL,,,,,40.112,-88.2365,anonymous,EN,United Stats,Illinois,Normal,"Small city, primarily suburbs and the main industry is insurance, particularly State Farm."
2025-09-15 10:05:27,2025-09-15 10:06:41,IP Address,130.126.255.184,100,74,True,2025-09-15 10:06:41,R_6ouuWf8g8IGLxb7,,,,,40.112,-88.2365,anonymous,EN,China,Shanghai,Shanghai,"Rich, wealthy, big and wide"
2025-09-15 10:05:44,2025-09-15 10:06:41,IP Address,130.126.255.195,100,56,True,2025-09-15 10:06:41,R_6p6jKxEO5P3gEmd,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Glen Ellyn,"Small Suburban Town located half an hour west of Chicago, really huge into Sports and God."
2025-09-15 10:05:39,2025-09-15 10:06:41,IP Address,130.126.255.109,100,62,True,2025-09-15 10:06:41,R_7X57LUfvPVQ9RxR,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Elmhurst,There are lots of trees and runners.
2025-09-15 10:05:33,2025-09-15 10:06:41,IP Address,72.36.119.141,100,68,True,2025-09-15 10:06:42,R_7fm8rmlU1dMyaor,,,,,40.112,-88.2365,anonymous,EN,United States of America,"Illinois ","CHICAGO ","A big city with a lot of people. "
2025-09-15 10:05:39,2025-09-15 10:06:43,IP Address,130.126.255.214,100,64,True,2025-09-15 10:06:43,R_60oAIS7PjIME6LJ,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Yorkville,"My hometown is smaller, on the outskirts of Chicago."
2025-09-15 10:05:59,2025-09-15 10:06:43,IP Address,130.126.255.16,100,43,True,2025-09-15 10:06:44,R_10Olxik8iUXfKuN,,,,,40.112,-88.2365,anonymous,EN,China,Zhejiang,Hangzhou,previous capital of China
2025-09-15 10:05:29,2025-09-15 10:06:44,IP Address,130.126.255.140,100,75,True,2025-09-15 10:06:44,R_7t9es9VhYMGlJkH,,,,,40.112,-88.2365,anonymous,EN,United States,California,Palo Alto,Suburban neighborhood in the center of silicon valley
2025-09-15 10:05:35,2025-09-15 10:06:46,IP Address,130.126.255.60,100,70,True,2025-09-15 10:06:46,R_5ZgF1z1GJjtvC9j,,,,,40.112,-88.2365,anonymous,EN,China,"Beijing
","Beijing
",It’s old
2025-09-15 10:05:26,2025-09-15 10:06:46,IP Address,130.126.255.16,100,80,True,2025-09-15 10:06:47,R_6icHBjJqoxgKzrb,,,,,40.112,-88.2365,anonymous,EN,China,Beijing,Beijing,"Beautiful & technological city, people there are kind and friendly."
2025-09-15 10:05:36,2025-09-15 10:06:47,IP Address,130.126.255.42,100,70,True,2025-09-15 10:06:47,R_78uzvA9LkH51Ka5,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Metamora,"Small, rural suburb with close ties to the local high school."
2025-09-15 10:05:46,2025-09-15 10:06:47,IP Address,216.183.125.19,100,61,True,2025-09-15 10:06:48,R_1ErXkb7AIqZZaqI,,,,,41.871,-87.6289,anonymous,EN,United States,California,Los Altos,Diverse tech hub city with a lot of computer science and engineers
2025-09-15 10:05:22,2025-09-15 10:06:47,IP Address,72.36.119.199,100,85,True,2025-09-15 10:06:48,R_1hNx5j6FOYSiK6l,,,,,40.112,-88.2365,anonymous,EN,India,Bangalore,"Varthur, Bangalore","A suburban area with lots of infrastructure and becoming more modern.  "
2025-09-15 10:05:35,2025-09-15 10:06:48,IP Address,130.126.255.130,100,73,True,2025-09-15 10:06:49,R_6sBJAF9ohsm6tb0,,,,,40.112,-88.2365,anonymous,EN,america,"illinois ","schaumburg ","a big town with the facilities to raise a family "
2025-09-15 10:06:09,2025-09-15 10:06:49,IP Address,130.126.255.245,100,40,True,2025-09-15 10:06:49,R_7IGdCOcSFHwLyGI,,,,,40.112,-88.2365,anonymous,EN,United States,New Jersey,Franklin Lakes,"Small, wealthy suburb of New York"
2025-09-15 10:05:35,2025-09-15 10:06:51,IP Address,130.126.255.225,100,75,True,2025-09-15 10:06:51,R_7Hhu9SqcbmYK0FY,,,,,40.112,-88.2365,anonymous,EN,The United States of America,Illinois,Champaign,Small college town with a welcoming environment.
2025-09-15 10:05:28,2025-09-15 10:06:53,IP Address,130.126.255.26,100,85,True,2025-09-15 10:06:53,R_60U3sYd9ROGQBNk,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Chicago,Resilient
2025-09-15 10:05:26,2025-09-15 10:06:53,IP Address,130.126.255.246,100,87,True,2025-09-15 10:06:53,R_14kUQ63gbB8wzL3,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Naperville,"A safe, middle to upper-class area "
2025-09-15 10:05:25,2025-09-15 10:06:54,IP Address,130.126.255.14,100,89,True,2025-09-15 10:06:55,R_5BtH3jZJWTOtiw1,,,,,40.112,-88.2365,anonymous,EN,United States of America,Washington,Woodinville,A cozy and multicultural community filled with diverse ideas.
2025-09-15 10:05:21,2025-09-15 10:06:55,IP Address,130.126.255.32,100,94,True,2025-09-15 10:06:56,R_6ahG7nvqbv4BrK9,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Evanston,Lively
2025-09-15 10:05:32,2025-09-15 10:06:56,IP Address,130.126.255.116,100,83,True,2025-09-15 10:06:56,R_7fjj5WqTe2uTovj,,,,,40.112,-88.2365,anonymous,EN,"United States ","Illinois ",Bloomington Illinois,My hometown is pretty active due to ISU being in the same town.
2025-09-15 10:05:58,2025-09-15 10:06:57,IP Address,130.126.255.158,100,58,True,2025-09-15 10:06:57,R_6D5TSGMfnmxwqHL,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Wheaton,Wheaton is historically conservative.
2025-09-15 10:05:39,2025-09-15 10:07:00,IP Address,130.126.255.176,100,80,True,2025-09-15 10:07:00,R_6PdfE5fUorQaWxJ,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Arlington Heights,A standard Chicago suburb with good schools.
2025-09-15 10:05:36,2025-09-15 10:07:00,IP Address,130.126.255.31,100,84,True,2025-09-15 10:07:01,R_5iZnfHkW7GME8WB,,,,,40.112,-88.2365,anonymous,EN,China,Guangdong,Chicago (born in China but raised in Chicago),Busy and loud but diverse with some nice quiet and calming areas
2025-09-15 10:06:26,2025-09-15 10:07:03,IP Address,130.126.255.93,100,36,True,2025-09-15 10:07:04,R_50MnGSMit8QsaFL,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Barrington,A small suburb with lots of trees and a mix of new and old buildings.
2025-09-15 10:06:39,2025-09-15 10:07:05,IP Address,130.126.255.94,100,25,True,2025-09-15 10:07:05,R_5s0SEUTzLrSq94M,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Chicago,Chicago is very pretty
2025-09-15 10:05:28,2025-09-15 10:07:05,IP Address,130.126.255.194,100,96,True,2025-09-15 10:07:05,R_7jg4BPGJXQbthpY,,,,,40.112,-88.2365,anonymous,EN,America,Illinois,Wilmette,Bad for biking
2025-09-15 10:06:15,2025-09-15 10:07:05,IP Address,72.36.119.159,100,50,True,2025-09-15 10:07:05,R_7f7Jxjbab78ijPr,,,,,40.112,-88.2365,anonymous,EN,United States,California,"Calabasas, CA",Suburban town close to the beach and right next to the mountains with lots of people and lots of things to do.
2025-09-15 10:06:37,2025-09-15 10:07:06,IP Address,172.225.66.6,100,28,True,2025-09-15 10:07:06,R_10UzZeKVb0jLnOH,,,,,41.8835,-87.6305,anonymous,EN,United States,Illinois,Huntley,Relaxing
2025-09-15 10:05:51,2025-09-15 10:07:07,IP Address,72.36.119.134,100,75,True,2025-09-15 10:07:07,R_1NxwtdqVm4AEGTn,,,,,40.112,-88.2365,anonymous,EN,Taiwan,Illinois,Kaohsiung,home
2025-09-15 10:06:04,2025-09-15 10:07:09,IP Address,130.126.255.86,100,64,True,2025-09-15 10:07:09,R_7iHXy9yFtT4BZIU,,,,,40.112,-88.2365,anonymous,EN,United States of America,IL,Brocton,"A small farm town in rural Illinois with very few businesses spread throughout the town. "
2025-09-15 10:06:29,2025-09-15 10:07:09,IP Address,130.126.255.118,100,40,True,2025-09-15 10:07:09,R_1p5qv32c23MH74y,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Lindenhurst,"Boring, small, and homely."
2025-09-15 10:05:45,2025-09-15 10:07:11,IP Address,130.126.255.59,100,86,True,2025-09-15 10:07:12,R_5GCmdJ0CWAspmu7,,,,,40.112,-88.2365,anonymous,EN,Serbia,Illinois,Niš,"It is big, filled with bakeries, and has many famous landmarks."
2025-09-15 10:05:45,2025-09-15 10:07:12,IP Address,130.126.255.165,100,86,True,2025-09-15 10:07:12,R_7tAtXL5qyRd0o5j,,,,,40.112,-88.2365,anonymous,EN,US,Illinois,Lake Villa,Small town with a single restaurant to keep it alive.
2025-09-15 10:06:00,2025-09-15 10:07:15,IP Address,130.126.255.155,100,74,True,2025-09-15 10:07:15,R_5M4GL0tCTk3UELi,,,,,40.112,-88.2365,anonymous,EN,China,Sichuan,Chengdu,Chengdu has many delicious foods. It is a good city to stay
2025-09-15 10:05:22,2025-09-15 10:07:19,IP Address,130.126.255.214,100,116,True,2025-09-15 10:07:20,R_6RpWPEhDfyJbKZw,,,,,40.112,-88.2365,anonymous,EN,South Korea,Seoul,Bangkok,"I lived in Thailand for 15 years. "
2025-09-15 10:06:44,2025-09-15 10:07:21,IP Address,130.126.255.108,100,37,True,2025-09-15 10:07:22,R_1PYNSBedEUZCFXO,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Galena,A quiet historical rural tourist town.
2025-09-15 10:06:08,2025-09-15 10:07:23,IP Address,130.126.255.95,100,75,True,2025-09-15 10:07:23,R_7QaYJ4Co6fZJ5Gx,,,,,40.112,-88.2365,anonymous,EN,Brazil,Sao Paulo,Sao paulo,great food
2025-09-15 10:05:34,2025-09-15 10:07:25,IP Address,130.126.255.57,100,111,True,2025-09-15 10:07:26,R_73EHjcnfTZzdlEm,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Barrington,"Smallish community but still large enough to have a good community, plenty of resources, and businesses"
2025-09-15 10:06:32,2025-09-15 10:07:26,IP Address,130.126.255.126,100,54,True,2025-09-15 10:07:27,R_6qDkj33r32oX4A1,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Northbrook,"Well-established suburban town in Northeast Illinois. "
2025-09-15 10:06:51,2025-09-15 10:07:27,IP Address,130.126.255.161,100,36,True,2025-09-15 10:07:27,R_7EhQQ9Z0gRjR4F7,,,,,40.112,-88.2365,anonymous,EN,China,Beijing,Beijing,Modern city
2025-09-15 10:06:47,2025-09-15 10:07:30,IP Address,130.126.255.28,100,42,True,2025-09-15 10:07:30,R_13a1AAfncpxkEiF,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Oak Lawn,My town is urban and lively.
2025-09-15 10:06:49,2025-09-15 10:07:38,IP Address,104.28.104.30,100,49,True,2025-09-15 10:07:39,R_1QGqli0jhFfMt5q,,,,,41.8835,-87.6305,anonymous,EN,"United States ","Illinois ","Elmhurst ","Nice houses and nice people, but very boring. "
2025-09-15 10:06:48,2025-09-15 10:07:39,IP Address,130.126.255.90,100,51,True,2025-09-15 10:07:39,R_7EBtjcvTrbj7GqW,,,,,40.112,-88.2365,anonymous,EN,China,Shanghai,Shanghai,Vibrant city with an amazing night life
2025-09-15 10:05:43,2025-09-15 10:07:39,IP Address,130.126.255.253,100,115,True,2025-09-15 10:07:39,R_6aN7yTEBNu2FUZj,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Brooklyn,"Asians were more common othan other races, and the landscape is very hilly."
2025-09-15 10:05:30,2025-09-15 10:07:39,IP Address,72.36.119.229,100,128,True,2025-09-15 10:07:39,R_5Lj7xDy1eBnCOY5,,,,,40.112,-88.2365,anonymous,EN,United States,North Carolina,"Beijing, China",Very busy city and there were a lot of people.
2025-09-15 10:05:32,2025-09-15 10:07:46,IP Address,130.126.255.234,100,133,True,2025-09-15 10:07:46,R_61FdWuVoEAGS4FR,,,,,40.112,-88.2365,anonymous,EN,"United States ",Illinois,"Lubang, Philippines",Small and tight-knit
2025-09-15 10:07:10,2025-09-15 10:07:48,IP Address,174.208.225.105,100,38,True,2025-09-15 10:07:49,R_3ezwwxPvYUHaSR3,,,,,41.8483,-87.6517,anonymous,EN,United States,Illinois,Chicago,Busy
2025-09-15 10:05:39,2025-09-15 10:07:48,IP Address,130.126.255.178,100,129,True,2025-09-15 10:07:49,R_6FWiBH5PwRtjuoh,,,,,40.112,-88.2365,anonymous,EN,China,SHanghai,Shanghai,It's huge.
2025-09-15 10:07:05,2025-09-15 10:07:52,IP Address,130.126.255.33,100,46,True,2025-09-15 10:07:52,R_6uClku4Z0gYzM90,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Wood River,Small tight nit community and below average income.
2025-09-15 10:06:39,2025-09-15 10:07:59,IP Address,130.126.255.172,100,79,True,2025-09-15 10:07:59,R_12W9bgRpoqwRMZX,,,,,40.112,-88.2365,anonymous,EN,China,Beijing,Wenzhou,"A beautiful city in southern China.
"
2025-09-15 10:06:26,2025-09-15 10:07:59,IP Address,172.225.130.59,100,92,True,2025-09-15 10:07:59,R_1TY96P6YOfI3ulM,,,,,41.8835,-87.6305,anonymous,EN,China,TianJin,HengShui,"It is a very small city, which is boring but warm."
2025-09-15 10:07:20,2025-09-15 10:08:02,IP Address,130.126.255.150,100,41,True,2025-09-15 10:08:02,R_6PZgCweMl58PD3f,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,McHenry,Small
2025-09-15 10:07:34,2025-09-15 10:08:03,IP Address,130.126.255.35,100,28,True,2025-09-15 10:08:03,R_1PC7eqIVvpvrCnV,,,,,40.112,-88.2365,anonymous,EN,"China ","Beijing ","Beijing ","Beijing is the capital of China "
2025-09-15 10:06:40,2025-09-15 10:08:03,IP Address,130.126.255.114,100,83,True,2025-09-15 10:08:03,R_60vznFa7zJo1a9s,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,连江，福建，中国,It is very relaxing and cozy.
2025-09-15 10:05:48,2025-09-15 10:08:04,IP Address,130.126.255.173,100,135,True,2025-09-15 10:08:04,R_7DsCaYPedLx0o7f,,,,,40.112,-88.2365,anonymous,EN,Mongolia,Illinois,Palatine,"Palatine, IL, is a northwest suburb of Chicago with great schools, tight-knit communities, and a lively downtown area."
2025-09-15 10:05:21,2025-09-15 10:08:06,IP Address,130.126.255.175,100,164,True,2025-09-15 10:08:06,R_1FkUQB1J6d395UX,,,,,40.112,-88.2365,anonymous,EN,"United States ",Illinois,"Johnsburg, IL","A small, tight-knit community that is full of nice people and good times. "
2025-09-15 10:06:28,2025-09-15 10:08:06,IP Address,130.126.255.102,100,98,True,2025-09-15 10:08:07,R_7vea6pSpEeMoRtQ,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,"Lockport, Illinois ","Its known for being a port town that runs by the I and M canal, and many ships come and go from it carrying many goods. There is only one bridge to get into the town but you can also go around from the south side by road. "
2025-09-15 10:07:24,2025-09-15 10:08:11,IP Address,72.36.119.5,100,47,True,2025-09-15 10:08:11,R_60w9RKKHqE4dNVN,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Waukegan,Real and honest place and filled with hopes and dreams.
2025-09-15 10:07:15,2025-09-15 10:08:19,IP Address,72.36.119.216,100,63,True,2025-09-15 10:08:19,R_3QZZeKjM8prelBD,,,,,40.112,-88.2365,anonymous,EN,China,Jiangsu,Changzhou,"A small and elegant city in Jiangsu, not particularly famous but highly prosperous."
2025-09-15 10:05:47,2025-09-15 10:08:25,IP Address,130.126.255.218,100,157,True,2025-09-15 10:08:25,R_50J07QWTFXeNNWH,,,,,40.112,-88.2365,anonymous,EN,China,Shanxi,Xian,a great city that have long history
2025-09-15 10:06:26,2025-09-15 10:08:32,IP Address,130.126.255.115,100,126,True,2025-09-15 10:08:32,R_6hGY3YJ5KRojHxJ,,,,,40.112,-88.2365,anonymous,EN,United States,California,San Clemente,It is a beach city where everyone surfs and skateboards
2025-09-15 10:07:45,2025-09-15 10:08:35,IP Address,130.126.255.149,100,50,True,2025-09-15 10:08:36,R_7IQ4dhU24zmEEX1,,,,,40.112,-88.2365,anonymous,EN,China,Henan,Zhengzhou,"a large and noisy City. Agricultural area "
2025-09-15 10:08:24,2025-09-15 10:08:47,IP Address,130.126.255.15,100,22,True,2025-09-15 10:08:47,R_14nMYBJKJNK3f6I,,,,,40.112,-88.2365,anonymous,EN,United States,"Illinois ",Lake Villa,Suburban
2025-09-15 10:07:09,2025-09-15 10:08:47,IP Address,130.126.255.184,100,98,True,2025-09-15 10:08:48,R_7dMJp05kx3WKSxf,,,,,40.112,-88.2365,anonymous,EN,China,Sichuan,Chengdu,"Spicy food, fast-paced lifestyle,  rich culture (especially 三国时期)"
2025-09-15 10:08:25,2025-09-15 10:08:49,IP Address,72.36.119.179,100,24,True,2025-09-15 10:08:50,R_1lbeq4kuROfPEQ1,,,,,40.112,-88.2365,anonymous,EN,India,Haryana,Gurugram,Chaotic
