StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q3,Q4,Q4_7_TEXT,Q5,Q6,Q7,Q7_5_TEXT,Q8,Q9,Q10
2025-09-15 10:06:01,2025-09-15 10:07:29,0,72.36.119.179,100,87,1,2025-09-15 10:07:31,R_1OHmnR5ATCqRpbp,,,,,40.112,-88.2365,anonymous,EN,1,,"Public Policy and Law ",1,"1,6",,2,2,"1,2",,"Tutorials
",3,1
2025-09-15 10:05:27,2025-09-15 10:07:37,0,130.126.255.72,100,129,1,2025-09-15 10:07:37,R_7ZRxJ6M7q9e8C1X,,,,,40.112,-88.2365,anonymous,EN,3,,Political Science,1,"1,2",,2,4,"1,3,7",,"Instructions/guides to using resources are made available, accessible, and easy to understand",4,2
2025-09-15 10:06:40,2025-09-15 10:07:37,0,130.126.255.235,100,56,1,2025-09-15 10:07:37,R_5mPgDQiFZZgYZAy,,,,,40.112,-88.2365,anonymous,EN,1,,Business Finandce,1,"1,6",,3,2,"2,3",,A guide,3,2
2025-09-15 10:06:21,2025-09-15 10:07:42,0,130.126.255.161,100,80,1,2025-09-15 10:07:43,R_3rqzWFAaJMVSEb7,,,,,40.112,-88.2365,anonymous,EN,2,,Aerospace Engineering,2,"1,2",,3,1,5,None,I think there are adequate resources for what I need to use digital tools for.,3,2
2025-09-15 10:06:09,2025-09-15 10:07:48,0,130.126.255.232,100,99,1,2025-09-15 10:07:49,R_5dq28lOD6nS3UlP,,,,,40.112,-88.2365,anonymous,EN,3,,Music Performance,2,"1,6",,2,4,"1,2,4",,"More information on how specifically to use sites, especially for assignments that will explore the whole site.",2,2
2025-09-15 10:06:42,2025-09-15 10:07:49,0,130.126.255.126,100,67,1,2025-09-15 10:07:49,R_7LvvNNx9tusVBBN,,,,,40.112,-88.2365,anonymous,EN,1,,Engineering Mechanics,3,"1,2,3,6",,3,1,"2,7",,More streamlined tutorials would make digital tools more effective.,2,2
2025-09-15 10:06:12,2025-09-15 10:07:50,0,130.126.255.166,100,98,1,2025-09-15 10:07:50,R_71lQAc5HjFSNeut,,,,,40.112,-88.2365,anonymous,EN,3,,Graphic Design,1,1,,2,4,1,,Learning how to better utilize AI,4,3
2025-09-15 10:06:30,2025-09-15 10:07:54,0,130.126.255.91,100,84,1,2025-09-15 10:07:54,R_6J3kJdoq3lUFbOQ,,,,,40.112,-88.2365,anonymous,EN,1,,Bioengineering,1,"1,2",,3,1,5,None,None,3,2
2025-09-15 10:06:09,2025-09-15 10:07:55,0,172.225.130.44,100,105,1,2025-09-15 10:07:55,R_7P5J6GB49uKNaRU,,,,,41.8835,-87.6305,anonymous,EN,3,,Political Science,3,"1,7",Google notebook,3,2,2,,n/a,3,2
2025-09-15 10:06:45,2025-09-15 10:07:55,0,130.126.255.238,100,69,1,2025-09-15 10:07:55,R_6J3BWoClap47FVT,,,,,40.112,-88.2365,anonymous,EN,1,,Finance,1,"1,2,3,6",,2,1,2,,Clearly outlined steps to use software.,2,2
2025-09-15 10:06:45,2025-09-15 10:07:57,0,130.126.255.19,100,71,1,2025-09-15 10:07:57,R_5EKfuy6bGZVZ8X8,,,,,40.112,-88.2365,anonymous,EN,2,,Construction Management,1,"1,2,6",,3,2,"1,2,3,4,7",,Online guides or in-class guides,3,2
2025-09-15 10:05:27,2025-09-15 10:08:01,0,130.126.255.137,100,153,1,2025-09-15 10:08:01,R_6l9wXbMYvmn4mo2,,,,,40.112,-88.2365,anonymous,EN,1,,Political Science,2,"2,6",,3,3,1,,online videos about how to use the tools,4,2
2025-09-15 10:05:30,2025-09-15 10:08:05,0,130.126.255.140,100,155,1,2025-09-15 10:08:06,R_6I5YQyEG4e1eEsp,,,,,40.112,-88.2365,anonymous,EN,1,,Computer Engineering,1,"1,2,3,4,6",,4,1,5,None,None,4,3
2025-09-15 10:06:50,2025-09-15 10:08:07,0,130.126.255.195,100,77,1,2025-09-15 10:08:08,R_68TUZ5ekEQe7qNz,,,,,40.112,-88.2365,anonymous,EN,1,,Aerospace Engineering,1,"1,2,6",,2,1,"1,3,4,7",,How to use A.I in an effective way to learn concepts yet not doing work for you.,1,1
2025-09-15 10:06:14,2025-09-15 10:08:09,0,130.126.255.242,100,115,1,2025-09-15 10:08:09,R_1gUt2WEcHxuVzyh,,,,,40.112,-88.2365,anonymous,EN,1,,Undecided wants to do history,1,"1,6",,3,1,"1,2,4,7",,Instructions,3,2
2025-09-15 10:06:25,2025-09-15 10:08:09,0,174.228.99.104,100,103,1,2025-09-15 10:08:09,R_6hRWWA1wBQT5ENS,,,,,41.85,-87.7165,anonymous,EN,1,,"Physics ",1,2,,3,4,1,,Maybe an infographic about what tools are available for me to use?,3,3
2025-09-15 10:06:15,2025-09-15 10:08:11,0,130.126.255.178,100,115,1,2025-09-15 10:08:11,R_7lCO8zno6WtaZsl,,,,,40.112,-88.2365,anonymous,EN,3,,Economic,1,"1,2,6",,3,1,"2,4",,R studio and Chatgpt,1,1
2025-09-15 10:06:59,2025-09-15 10:08:11,0,130.126.255.225,100,72,1,2025-09-15 10:08:12,R_6OZjMvmmWrSbDNO,,,,,40.112,-88.2365,anonymous,EN,2,,"Anthropology ",1,8,,2,4,1,,"Tutorials and instructions ",4,3
2025-09-15 10:06:08,2025-09-15 10:08:16,0,130.126.255.41,100,127,1,2025-09-15 10:08:16,R_5rN7HmrR7KKCAkr,,,,,40.112,-88.2365,anonymous,EN,2,,"Material Science and Engineering ",3,"1,7",Note taking softwares (Microsoft word),2,2,"3,4",,I dont know,5,3
2025-09-15 10:06:36,2025-09-15 10:08:17,0,72.36.119.179,100,100,1,2025-09-15 10:08:17,R_1Pi5IHA28BX2MD6,,,,,40.112,-88.2365,anonymous,EN,1,,"
Astrophysics",1,"1,2",,3,1,3,,Access to digital tools,2,2
2025-09-15 10:06:54,2025-09-15 10:08:17,0,130.126.255.214,100,83,1,2025-09-15 10:08:18,R_109b3TAr9EOq6ml,,,,,40.112,-88.2365,anonymous,EN,1,,Accountancy,2,"1,2,3",,3,1,"1,2",,Video tutorials,3,2
2025-09-15 10:06:34,2025-09-15 10:08:17,0,130.126.255.19,100,103,1,2025-09-15 10:08:18,R_6qrR7ycjTestSz9,,,,,40.112,-88.2365,anonymous,EN,4,,Creative Writing,2,2,,2,4,"1,2",,A more thorough introduction to the nuances of how some of the tools work.,3,2
2025-09-15 10:07:14,2025-09-15 10:08:17,0,130.126.255.118,100,63,1,2025-09-15 10:08:18,R_1rNuvCuI9mZLZUd,,,,,40.112,-88.2365,anonymous,EN,1,,Sociology,1,"1,5,6",,2,1,"1,7",,"Tutorials ",2,2
2025-09-15 10:07:09,2025-09-15 10:08:18,0,72.36.119.159,100,68,1,2025-09-15 10:08:18,R_13yBLARMxTothWW,,,,,40.112,-88.2365,anonymous,EN,1,,Community Health,1,8,,1,4,1,,Step-by-step guides.,2,3
2025-09-15 10:06:37,2025-09-15 10:08:19,0,130.126.255.97,100,101,1,2025-09-15 10:08:19,R_10wYbckY67wyulO,,,,,40.112,-88.2365,anonymous,EN,1,,History,1,8,,2,4,"2,4",,Shown a demonstration on how to use them in class,3,3
2025-09-15 10:06:08,2025-09-15 10:08:19,0,166.194.132.64,100,131,1,2025-09-15 10:08:20,R_3nKXxUCigA7w5Y5,,,,,41.945,-87.7996,anonymous,EN,1,,Mathematics,1,"2,4",,2,2,2,,Instruction to use digital tools,2,2
2025-09-15 10:07:02,2025-09-15 10:08:20,0,130.126.255.26,100,77,1,2025-09-15 10:08:20,R_1GePgyMJ6XGwgOn,,,,,40.112,-88.2365,anonymous,EN,2,,Urban Planning,2,"1,2,6",,2,4,1,,People who can help and more tutorials,3,2
2025-09-15 10:06:04,2025-09-15 10:08:21,0,130.126.255.84,100,137,1,2025-09-15 10:08:22,R_7AN44pXihdzZ5zr,,,,,40.112,-88.2365,anonymous,EN,1,,Math (Looking to switch to CS + Econ or Math + CS),1,"1,2,3,4,6",,3,1,1,,I think some more online training through the university to use these tools might be very helpful.,2,3
2025-09-15 10:06:47,2025-09-15 10:08:23,0,130.126.255.27,100,95,1,2025-09-15 10:08:23,R_6EoGhO3xIMnHQdt,,,,,40.112,-88.2365,anonymous,EN,3,,East Asian Languages & Cultures,2,"1,6",,3,3,4,,Not sure,2,2
2025-09-15 10:06:40,2025-09-15 10:08:25,0,130.126.255.158,100,105,1,2025-09-15 10:08:25,R_7dS3CgoTlq9I933,,,,,40.112,-88.2365,anonymous,EN,3,,Social Work,3,"1,2",,3,4,"2,3,7",,"Honestly, I would really like for professors to stop giving us work involving digital tools, particularly AI. Most professors don't understand it themselves and can't give accurate guidance on how to use it, on top of the ethical and environmental issues AI usage involves. ",4,3
2025-09-15 10:06:03,2025-09-15 10:08:27,0,130.126.255.19,100,144,1,2025-09-15 10:08:27,R_1cZQg21SPBlVmY9,,,,,40.112,-88.2365,anonymous,EN,2,,East Asian Languages and Cultures,2,6,,2,4,"1,7",,Having tuturials for digital humanities resources posted in the canvas or on UIUC webpages rather than havi g to gind an online library for tutorials.,4,2
2025-09-15 10:06:44,2025-09-15 10:08:28,0,130.126.255.184,100,103,1,2025-09-15 10:08:28,R_11hhPC7xSyWKBxx,,,,,40.112,-88.2365,anonymous,EN,1,,Business,2,1,,2,2,"1,2",,I don't know,3,3
2025-09-15 10:05:50,2025-09-15 10:08:31,0,130.126.255.125,100,160,1,2025-09-15 10:08:31,R_6WUR3DP7CB0i8nN,,,,,40.112,-88.2365,anonymous,EN,1,,Economics,1,"1,6",,3,2,3,,Full access to sites and tools that are put behind a paywall.,2,3
2025-09-15 10:06:19,2025-09-15 10:08:32,0,130.126.255.37,100,133,1,2025-09-15 10:08:33,R_5EA9nMMWUyRlK9j,,,,,40.112,-88.2365,anonymous,EN,1,,Mechanical Engineering,1,8,,2,4,"3,4,7",,"Direction from instructors on how and when to use digital tools
",2,2
2025-09-15 10:06:56,2025-09-15 10:08:33,0,130.126.255.42,100,97,1,2025-09-15 10:08:34,R_1E4Z0HCcrzhymQ0,,,,,40.112,-88.2365,anonymous,EN,1,,Political Science,1,"1,2,6",,3,2,2,,none,3,3
2025-09-15 10:06:56,2025-09-15 10:08:34,0,130.126.255.199,100,97,1,2025-09-15 10:08:34,R_1y7Ttza6JCo4aHv,,,,,40.112,-88.2365,anonymous,EN,1,,Computer science,3,"1,2,3,6",,3,2,"2,4",,None,4,3
2025-09-15 10:07:15,2025-09-15 10:08:34,0,172.225.66.6,100,79,1,2025-09-15 10:08:35,R_1CfIxOtfBc2FnBD,,,,,41.8835,-87.6305,anonymous,EN,1,,Economics,1,"1,2",,3,2,"2,4",,More support on Canvas.,3,2
2025-09-15 10:07:12,2025-09-15 10:08:35,0,130.126.255.94,100,83,1,2025-09-15 10:08:36,R_62Er82KcxyGtXc5,,,,,40.112,-88.2365,anonymous,EN,3,,Molecular and Cellular Biology,1,"2,6,7",StatCrunch,3,2,"1,2,4",,Integration with assignments,3,2
2025-09-15 10:07:02,2025-09-15 10:08:36,0,72.36.119.199,100,94,1,2025-09-15 10:08:36,R_1g6gNHOA256Uo3p,,,,,40.112,-88.2365,anonymous,EN,1,,Information Science+Data science,1,"1,2,3,6",,4,1,"2,4",,"Having a day where professor just explain and give examples on how to use these tools ",3,3
2025-09-15 10:06:58,2025-09-15 10:08:38,0,130.126.255.245,100,99,1,2025-09-15 10:08:38,R_38O6aLGtSrUGHYz,,,,,40.112,-88.2365,anonymous,EN,1,,Math+Computer Science,1,"1,2,3",,4,1,"3,7",,If more teachers required it or taught it,2,1
2025-09-15 10:06:59,2025-09-15 10:08:39,0,130.126.255.14,100,100,1,2025-09-15 10:08:39,R_7R24TzJflpkAYaQ,,,,,40.112,-88.2365,anonymous,EN,1,,"Gies business, accounting and data science",1,"1,2,6",,2,2,"1,2,4,7",,Tutorials and help on the digital tools.,2,1
2025-09-15 10:07:05,2025-09-15 10:08:42,0,130.126.255.246,100,96,1,2025-09-15 10:08:43,R_1yBHbjvY9eF4vFT,,,,,40.112,-88.2365,anonymous,EN,3,,"Kinesiology ",2,"1,6",,3,2,"2,7",,More support from instructors,4,3
2025-09-15 10:06:55,2025-09-15 10:08:44,0,130.126.255.16,100,109,1,2025-09-15 10:08:45,R_7PgX8GggLQk4buK,,,,,40.112,-88.2365,anonymous,EN,1,,Math,2,"1,3,6",,2,2,"1,2,7",,"Use the Chatgpt and Youtube to learn. ",2,2
2025-09-15 10:07:08,2025-09-15 10:08:46,0,130.126.255.130,100,97,1,2025-09-15 10:08:46,R_7OHyX7M0DmSgxHD,,,,,40.112,-88.2365,anonymous,EN,1,,Biology Pre-Med,1,"1,5",,3,2,"1,2,3",,"an intro or instruction manual type of thing ",4,3
2025-09-15 10:06:30,2025-09-15 10:08:47,0,72.36.119.206,100,136,1,2025-09-15 10:08:47,R_6zbZwBRHjrFvQoM,,,,,40.112,-88.2365,anonymous,EN,1,,Computer Science + Economics,1,"1,2,3",,3,1,3,,Know how to ask questions effectively and get the answer I want,2,2
2025-09-15 10:06:41,2025-09-15 10:08:52,0,130.126.255.119,100,130,1,2025-09-15 10:08:52,R_1lS7TSK1LzTCu7D,,,,,40.112,-88.2365,anonymous,EN,1,,Astrophysics / Violin Performance,1,"1,2",,3,1,2,,"Access to commonly asked questions or troubleshooting guides, or some kind of forum to ask questions and share technical advice.",2,3
2025-09-15 10:06:54,2025-09-15 10:08:52,0,130.126.255.60,100,117,1,2025-09-15 10:08:52,R_7r3v7NYHkpmLvbR,,,,,40.112,-88.2365,anonymous,EN,2,,"Maths ",3,"1,2,3",,3,4,"1,3",,"To learn new things ",3,2
2025-09-15 10:06:31,2025-09-15 10:08:55,0,130.126.255.114,100,144,1,2025-09-15 10:08:55,R_3xnarKgPYCAcwH7,,,,,40.112,-88.2365,anonymous,EN,1,,Aerospace Engineering,1,"1,2",,3,2,"1,2,4,7",,If there was a training module or course that was given to help understand the tools that we are given and how to use them.,3,2
2025-09-15 10:07:04,2025-09-15 10:08:56,0,130.126.255.31,100,111,1,2025-09-15 10:08:56,R_1iPDDczl008j7Kb,,,,,40.112,-88.2365,anonymous,EN,1,,Mathematics,1,"1,2",,2,2,"1,2,3,4",,Where to find helpful digital tools and how to use them correctly,2,2
2025-09-15 10:07:01,2025-09-15 10:08:56,0,130.126.255.16,100,114,1,2025-09-15 10:08:56,R_1jZdI045tm27Yzn,,,,,40.112,-88.2365,anonymous,EN,1,,accounting,1,"1,2,3,6,7",translator,3,2,"1,2,4,7",,I'm not sure,2,2
2025-09-15 10:06:47,2025-09-15 10:08:57,0,130.126.255.161,100,130,1,2025-09-15 10:08:58,R_1azDx5Budq2ELOk,,,,,40.112,-88.2365,anonymous,EN,1,,Accountancy,2,"1,5,6",,2,2,"1,2",,Guildline.,2,2
2025-09-15 10:07:12,2025-09-15 10:08:57,0,72.36.119.134,100,105,1,2025-09-15 10:08:58,R_7z5yc6hU9TwTI0y,,,,,40.112,-88.2365,anonymous,EN,1,,computer science and bioengineering,1,2,,3,1,7,,n/a,3,2
2025-09-15 10:06:40,2025-09-15 10:08:58,0,172.225.130.43,100,138,1,2025-09-15 10:08:59,R_1FFaZIQ9S2eBGUk,,,,,41.8835,-87.6305,anonymous,EN,1,,kinisienology,1,1,,3,2,1,,Explanation,2,2
2025-09-15 10:07:35,2025-09-15 10:09:02,0,130.126.255.126,100,87,1,2025-09-15 10:09:02,R_1KV1JIS2nkchkz6,,,,,40.112,-88.2365,anonymous,EN,2,,Community Health,1,"1,2,3",,3,2,"3,4,7",,Guidance on how to utilize digital tools to help with academics. Using digital tools as an assistance to our studies.,2,1
2025-09-15 10:06:53,2025-09-15 10:09:02,0,130.126.255.109,100,129,1,2025-09-15 10:09:02,R_6ATnzEYwgovtL20,,,,,40.112,-88.2365,anonymous,EN,1,,Aerospace Engineering,3,"1,2,3,6",,4,1,1,,Training sessions to assist in coding language learning.,2,1
2025-09-15 10:07:14,2025-09-15 10:09:04,0,130.126.255.165,100,110,1,2025-09-15 10:09:05,R_6JzajjJ9jaRcihI,,,,,40.112,-88.2365,anonymous,EN,1,,Accounting,1,"1,2",,3,1,3,,More experience with software.,5,3
2025-09-15 10:07:58,2025-09-15 10:09:06,0,130.126.255.31,100,68,1,2025-09-15 10:09:07,R_11pyoTDpiZVbza1,,,,,40.112,-88.2365,anonymous,EN,3,,Architecture,1,"1,6",,4,1,"1,3",,More in depth tutorials would help support the use of digital tools.,3,3
2025-09-15 10:07:52,2025-09-15 10:09:08,0,130.126.255.234,100,75,1,2025-09-15 10:09:08,R_3mEpuE2plFbfZC6,,,,,40.112,-88.2365,anonymous,EN,1,,"Biochemistry ",1,"1,6",,2,3,"1,4,7",,"Instructions ",2,2
2025-09-15 10:07:35,2025-09-15 10:09:08,0,130.126.255.161,100,92,1,2025-09-15 10:09:09,R_1AKhGKfl8nj5dId,,,,,40.112,-88.2365,anonymous,EN,1,,NRES,1,"1,6",,2,2,1,,Traing,3,2
2025-09-15 10:07:17,2025-09-15 10:09:10,0,130.126.255.59,100,113,1,2025-09-15 10:09:11,R_725aucQx4dcF8cG,,,,,40.112,-88.2365,anonymous,EN,1,,Computer Science,2,"1,6",,2,4,"4,7",,I don’t need any support.,5,3
2025-09-15 10:08:00,2025-09-15 10:09:21,0,130.126.255.33,100,80,1,2025-09-15 10:09:21,R_7BmNu1HJvNNxdjo,,,,,40.112,-88.2365,anonymous,EN,1,,Business,1,"1,2,3,6",,3,1,"1,2",,Training or tutorials in how to use the digital tools.,1,1
2025-09-15 10:05:52,2025-09-15 10:09:22,0,130.126.255.181,100,210,1,2025-09-15 10:09:22,R_5uERzGd7URziiIy,,,,,40.112,-88.2365,anonymous,EN,1,,"Nuclear, Plasma, and radiological engineering",1,"2,3,6",,3,2,"1,2,7",,tutorials on how to use them properly,3,2
2025-09-15 10:07:00,2025-09-15 10:09:25,0,130.126.255.158,100,145,1,2025-09-15 10:09:26,R_3CN7U2HYxh30gFk,,,,,40.112,-88.2365,anonymous,EN,2,,Economics,1,1,,3,1,1,,Videos or forums,2,2
2025-09-15 10:07:46,2025-09-15 10:09:25,0,104.28.104.30,100,99,1,2025-09-15 10:09:26,R_6MgqeAH5uqyd10e,,,,,41.8835,-87.6305,anonymous,EN,1,,Business (Finance/Accounting),1,"1,2,6",,3,2,4,,"Better understand what prompts and concepts are helpful to introduce to the AI so that it can be more helpful. ",2,2
2025-09-15 10:06:50,2025-09-15 10:09:26,0,130.126.255.180,100,155,1,2025-09-15 10:09:26,R_1Rsdq1gd3ZCDehh,,,,,40.112,-88.2365,anonymous,EN,1,,Finance + Data Science,1,"2,3",,2,2,1,,I feel like there is enough support and resources to help me with my troubles.,3,2
2025-09-15 10:08:25,2025-09-15 10:09:27,0,130.126.255.233,100,62,1,2025-09-15 10:09:27,R_7nwNbnrDsOPpJ19,,,,,40.112,-88.2365,anonymous,EN,3,,math,1,"1,2,3",,3,1,1,,Searching on website,3,2
2025-09-15 10:07:13,2025-09-15 10:09:29,0,130.126.255.176,100,136,1,2025-09-15 10:09:29,R_72Lykw7514r4PDx,,,,,40.112,-88.2365,anonymous,EN,1,,Chemistry Pre-dental,1,"1,6",,3,1,"1,2",,"I usually just learn by doing, tutorials and ""helpful resource"" guides don't usually stick",3,2
2025-09-15 10:07:18,2025-09-15 10:09:29,0,130.126.255.155,100,131,1,2025-09-15 10:09:30,R_1F2FEmHkRbu9Gmu,,,,,40.112,-88.2365,anonymous,EN,1,,Chemistry,1,8,,1,5,1,,I need to learn how to use them basically,3,2
2025-09-15 10:06:54,2025-09-15 10:09:30,0,216.183.125.19,100,156,1,2025-09-15 10:09:31,R_1h9IexxreEsuAg0,,,,,41.871,-87.6289,anonymous,EN,1,,Materials Science,1,3,,3,1,1,,More instructions on how to access digital tools,2,2
2025-09-15 10:08:39,2025-09-15 10:09:33,0,130.126.255.115,100,54,1,2025-09-15 10:09:34,R_7cPBiv9JrsWuRCp,,,,,40.112,-88.2365,anonymous,EN,1,,Finance and Accounting,1,6,,2,3,2,,A video on how to use it,3,3
2025-09-15 10:07:20,2025-09-15 10:09:36,0,130.126.255.86,100,136,1,2025-09-15 10:09:37,R_39RgFWFxOeygTbH,,,,,40.112,-88.2365,anonymous,EN,1,,Biochemistry,1,"1,6",,2,2,"1,2,4,7",,"Tutorial Videos, the support of using these tools",1,2
2025-09-15 10:06:49,2025-09-15 10:09:37,0,72.36.119.141,100,168,1,2025-09-15 10:09:37,R_6t9WxJSNjFvNakH,,,,,40.112,-88.2365,anonymous,EN,1,,"Engineering ",1,1,,3,2,"2,3",,"Teachings on how to use AI to help me study or learn new material. ",2,2
2025-09-15 10:07:32,2025-09-15 10:09:37,0,130.126.255.108,100,125,1,2025-09-15 10:09:38,R_1j9x3UfN0aeyI5o,,,,,40.112,-88.2365,anonymous,EN,1,,Political Science,1,7,"Knowt, Penseum",4,1,3,,"Free access to AI-powered studying tools to streamline studying. ",2,2
2025-09-15 10:07:57,2025-09-15 10:09:38,0,72.36.119.229,100,101,1,2025-09-15 10:09:38,R_1fBy7wqq1xFgD9B,,,,,40.112,-88.2365,anonymous,EN,1,,Mechanical Engineering,1,"1,2,3,6",,3,1,2,,More tutorials on how to effectively use the tools,2,2
2025-09-15 10:07:35,2025-09-15 10:09:38,0,130.126.255.28,100,123,1,2025-09-15 10:09:38,R_7DBaNCPmugV0s3v,,,,,40.112,-88.2365,anonymous,EN,1,,Accounting and Finance,1,"1,2,6",,4,1,2,,I feel like there already is enough information and support for digital tools.,1,2
2025-09-15 10:07:42,2025-09-15 10:09:40,0,130.126.255.253,100,117,1,2025-09-15 10:09:41,R_7fK2uwoC1hRZATD,,,,,40.112,-88.2365,anonymous,EN,1,,Finance & Accounting,1,"1,2,6",,4,1,"4,7",,Teachers can specify on which parts of the assignment we can use digital tools and how.,2,3
2025-09-15 10:08:08,2025-09-15 10:09:44,0,130.126.255.102,100,95,1,2025-09-15 10:09:44,R_3EA0qzfMCBkKyUt,,,,,40.112,-88.2365,anonymous,EN,3,,EALC,1,"1,2",,2,4,"1,2,4,7",,"If there were specific guidelines and methods outlined for specific software it could help students understand what acceptable use is. ",3,2
2025-09-15 10:08:09,2025-09-15 10:09:45,0,130.126.255.114,100,96,1,2025-09-15 10:09:45,R_3F8ji62ROjGmfd3,,,,,40.112,-88.2365,anonymous,EN,1,,Computer Science,1,"1,2,3,4,6",,4,2,4,,some  bit of help to know what to use them for in history classes,3,3
2025-09-15 10:07:29,2025-09-15 10:09:45,0,130.126.255.57,100,136,1,2025-09-15 10:09:46,R_1wEJVYccy6AzNTN,,,,,40.112,-88.2365,anonymous,EN,4,,Physics,1,"1,2,6",,2,1,"3,4",,"Having them be cheaper or offered through the university of illinois system would be helpful, an dedicated time to showing us how to use them for our specific tasks and work",2,1
2025-09-15 10:07:24,2025-09-15 10:09:46,0,130.126.255.194,100,141,1,2025-09-15 10:09:46,R_6p7lL48Z3MKFXs5,,,,,40.112,-88.2365,anonymous,EN,1,,East Asian Studies,1,"6,7","Pear deck, powerpoint, google applications",3,4,"2,5",Bad connection,I don’t know,4,2
